criativo,leads,ate_5mil,5_20mil,20_50mil,50_100mil,acima_100mil,leads_20mil_mais,pct_20mil_mais,faturamento_medio_estimado_mil
120251713966390076,3,1,1,0,1,0,1,33.3,30.0
AD02 - IM - Estruturamos,15,12,1,0,1,1,2,13.3,14.5
AD15 - IM - Você quer resolver — Cópia,3,1,2,0,0,0,0,0.0,9.2
AD01 - VD - Vou te explicar,3,1,2,0,0,0,0,0.0,9.2
AD08 - IM - Nota oficial,3,2,1,0,0,0,0,0.0,5.8
AD18 - IM - É claro — Cópia,2,2,0,0,0,0,0,0.0,2.5
AD01 - IM - Lembra quando,1,1,0,0,0,0,0,0.0,2.5
AD18 - IM - Você não precisa — Cópia,1,1,0,0,0,0,0,0.0,2.5
AD09 - IM - Iceberg,1,1,0,0,0,0,0,0.0,2.5
