criativo,formato,leads,mql,camada_a,camada_b,fat_20k+,ticket_3k+,pode_investir,primeiro_lead,ultimo_lead
AD02 - IM - Estruturamos,Estático,15,1,0,1,2,3,3,2026-09-05,2026-09-21
120251713966390076,Sem nome na UTM,3,1,0,1,1,1,0,2026-08-28,2026-08-30
AD15 - IM - Você quer resolver — Cópia,Estático,3,0,0,0,0,2,0,2026-08-29,2026-09-12
AD01 - VD - Vou te explicar,Vídeo,3,0,0,0,0,1,2,2026-09-03,2026-09-22
AD08 - IM - Nota oficial,Estático,3,0,0,0,0,0,1,2026-09-03,2026-09-08
AD18 - IM - É claro — Cópia,Estático,2,0,0,0,0,1,0,2026-08-30,2026-09-04
AD01 - IM - Lembra quando,Estático,1,0,0,0,0,0,0,2026-09-01,2026-09-01
AD18 - IM - Você não precisa — Cópia,Estático,1,0,0,0,0,0,0,2026-09-23,2026-09-23
AD09 - IM - Iceberg,Estático,1,0,0,0,0,0,0,2026-09-23,2026-09-23
