Fase,Grupo,Data,Dia,Periodo,Hora,Status,Nome do Grupo
Captacao,Grupo do evento,07/07,ter,captacao,-,A fazer,Workshop Funil de Lead Dinamico - 14/07
Aquecimento,Grupo do evento,13/07,seg,pre,noite,A fazer,E AMANHA 14H - Workshop FLD
Evento,Grupo do evento,14/07,ter,evento,08h,A fazer,HOJE 14H - Workshop FLD
Evento,Grupo do evento,14/07,ter,evento,13h50,A fazer,AO VIVO AGORA - entra na sala
Vendas,Grupo do evento,15/07,qua,pos,manha,A fazer,REPLAY no ar - faca sua aplicacao
Vendas,Grupo do evento,21/07,ter,pos,-,A fazer,Ultimas vagas da semana
